Has Links,Has Spammy Words,Text Length,Number of Symbols,Class Label
False,False,3,9,ham
False,False,1,6,ham
False,True,4,2,spam
False,False,2,6,ham
False,False,2,1,ham
False,True,4,5,spam
False,False,2,2,ham
False,True,5,1,ham
False,True,5,6,spam
False,True,4,2,spam
False,False,3,3,ham
False,True,4,5,spam
True,True,4,8,spam
False,True,5,3,ham
False,False,1,2,ham
True,True,4,6,spam
False,False,1,4,ham
False,False,2,5,ham
False,False,2,1,ham
False,True,4,4,spam
False,False,1,1,ham
False,False,2,1,ham
False,False,2,6,ham
False,False,2,3,ham
False,False,2,2,ham
False,False,4,5,ham
False,False,1,1,ham
False,False,4,5,ham
False,False,2,3,ham
False,False,2,4,ham
False,False,3,1,ham
False,True,5,6,ham
False,False,1,1,ham
False,False,2,1,ham
False,True,5,1,spam
False,False,3,6,ham
False,False,2,1,ham
False,False,1,0,ham
False,False,1,6,ham
False,True,4,4,ham
False,False,2,3,ham
False,False,4,15,ham
False,True,5,1,spam
False,False,1,1,ham
False,False,2,9,ham
False,True,1,4,ham
False,False,1,1,ham
False,False,1,2,ham
False,False,2,1,ham
False,False,4,4,ham
False,False,2,2,ham
False,False,3,9,ham
False,False,2,0,ham
False,False,5,7,ham
False,True,3,5,spam
False,False,2,5,ham
False,True,5,10,spam
False,True,1,2,ham
False,False,1,0,ham
False,False,1,3,ham
False,False,3,3,ham
False,False,2,2,ham
False,False,1,0,ham
False,False,2,2,ham
False,False,3,2,ham
False,True,4,3,spam
False,False,3,6,ham
False,True,5,6,spam
False,False,2,2,spam
False,False,1,1,ham
False,False,1,9,ham
False,False,1,1,ham
False,False,1,1,ham
False,False,1,5,ham
False,True,1,3,ham
False,True,1,2,ham
False,False,2,2,ham
False,False,2,2,ham
False,False,1,4,ham
False,False,2,3,ham
False,True,1,1,ham
False,True,1,2,ham
False,False,1,0,ham
False,False,1,0,ham
False,False,1,1,ham
False,True,2,4,ham
False,False,3,3,ham
False,False,4,3,ham
False,False,1,0,ham
False,True,1,5,ham
False,False,2,4,ham
False,False,5,4,ham
False,False,4,2,ham
False,True,4,1,spam
False,False,3,3,ham
False,True,3,3,spam
False,False,1,3,ham
False,False,2,1,ham
False,True,5,20,ham
False,False,1,0,ham
False,False,2,2,ham
False,False,1,1,ham
